freq,p,o
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Death_Breath
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Inevitable_End
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Aeon_(band)
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/The_Crown_(band)
2,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Anders_Iwers
2,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Kristian_Wåhlin
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Christian_metal
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Necrophobic
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Solution_.45
2,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Martin_Larsson_(guitarist)
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nightingale_(band)
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Paganizer
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Arch_Enemy
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nightingale_(band)
2,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Borås
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Unleashed_(band)
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Dark_Funeral
2,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Jönköping
2,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Linköping
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/The_Ajna_Offensive
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Morbid_(band)
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/The_Project_Hate_MCMXCIX
2,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Scar_Symmetry
2,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Liers_in_Wait
2,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Anders_Nyström
2,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Jonas_Kjellgren
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Hammerheart_Records
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Black_Sun_Records
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Lifeforce_Records
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Martyrdöd
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Marduk_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Incinerator_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Diabolique_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Armageddon_(Swedish_band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Lake_of_Tears
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Demonoid_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Messiah_(Swiss_band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Repugnant
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Ofermod
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Pan.Thy.Monium
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Storm_Corrosion
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Paradise_Lost_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Tristitia
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Carbonized
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/The_Absence_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Rammstein
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Lindemann_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Armageddon_(Swedish_band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Descenery
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Godsic
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/General_Surgery_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nasum
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Valkyrie_(American_band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Dead_by_April
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Jeramie_Kling
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Thomas_Vikström
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Christian_Vidal
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Daniel_Antonsson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Scott_Carlson
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/List_of_Therion_members
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Christian_Älvestam
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Thomas_Heder_(Keyboards)
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Unblack_metal
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Visby
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Falköping
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/MNRK_Music_Group
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Blood_Harvest_Records
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Nocturnal_Art_Productions
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Cut_Up
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Antestor
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Vomitory_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Hypocrisy_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Second_Sky
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ribspreader
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Deus_Ex_Machina_(heavy_metal_band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Valkyrie_(American_band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/A*Teem
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Endless_Torture
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Odhinn_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Deathstars
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Centinex
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Raubtier
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Steel_Attack
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Carnage_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Deus_Ex_Machina_(heavy_metal_band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Endless_Torture
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/God_Among_Insects
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Martín_Méndez
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Oscar_Dronjak
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Haakon_Forwald
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Hans_Nilsson_(musician)
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Fredrik_Lindgren_(musician)
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Upplands_Väsby
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Vålberg
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Singapore
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Sony_Music
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Barbarian_Record
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Megarock_Records
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/SPV_GmbH
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ofermod
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ondskapt
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Watain
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Deranged_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Expulsion_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Craft_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/The_Absence_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Dimension_Zero
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Eucharist_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Descenery
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ceremonial_Oath
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Antestor
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Ondskapt
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Devil_Lee_Rot
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Pain_(musical_project)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Eucharist_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Amok_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Odhinn_(band)
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Matti_Kärki
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Fredrik_Åkesson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Peter_Tägtgren
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Tomas_Lindberg
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Robert_Pehrsson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Hasse_Karlsson
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Sharlee_D'Angelo
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Andreas_Axelsson
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Tore_Stjerna
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Anders_Iwers
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Peter_Stjärnvind
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Goregrind
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Alingsås
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Ludvika
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Sundsvall
1,http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/resource/Therion_(band)__Sound__2
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ophthalamia
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nefandus
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Storm_Corrosion
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Pagan_Rites
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Arckanum
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/In_Mourning_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/October_Tide
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Ophthalamia
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nefandus
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Pagan_Rites
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Defleshed
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Ribspreader
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Richard_Cabeza
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Tobias_Forge
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Dan_Swanö
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Dave_Ingram
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Christian_Älvestam
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Jani_Stefanovic
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Magnus_Sahlgren
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Emperor_Magus_Caligula
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Daniel_Erlandsson
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Peter_Tuthill
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Norrköping
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Everöd
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Saltsjöbaden
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/WAR_Music
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Enforcer_(band)
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Insision
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Pan.Thy.Monium
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Funeral_Mist
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Shadowquest
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Lucyfire
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nasum
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Insision
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Hypocrisy_(band)
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Arckanum
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Dimension_Zero
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Fred_Estby
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Andreas_Axelsson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Jesper_Strömblad
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Adrian_Erlandsson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Johan_Edlund
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Lars_Rosenberg
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Martin_Åkesson
1,http://dbpedia.org/ontology/bandMember,http://dbpedia.org/resource/Valle_Adzic
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Adrian_Erlandsson
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Martin_van_Drunen
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Peter_Tägtgren
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Anders_Fridén
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Jesper_Strömblad
1,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Jonas_Renkse
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Forshaga
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Strömstad
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Black_Lodge_Records
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Cyclone_Empire_Records
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Deathstars
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Centinex
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Paradise_Lost_(band)
