freq,p,o,rank
4,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/California,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Michael_Boatman,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Mary_Page_Keller,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Rob_Long,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Robin_Riker,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Stan_Daniels,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Arlene_Sanford,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/David_Trainer,104
4,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Rick_Marotta,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Peter_Engel,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Nancy_Travis,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Joel_Murray,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Carmen_Finestra,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/David_McFadzean,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Diane_English,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Robby_Benson,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Diane_English,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Andrew_Nicholls_and_Darrell_Vickers,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Bob_Young_(TV_producer),104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Carmen_Finestra,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Matt_Williams_(TV_producer),104
4,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Steve_Tyrell,104
4,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/HBO,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Brian_Doyle-Murray,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Gary_David_Goldberg,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Leah_Remini,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/David_Crane_(producer),104
4,http://dbpedia.org/ontology/person,http://dbpedia.org/resource/Daniel_Flannery,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Dakin_Matthews,104
4,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Mohawk_Productions,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Michael_J._Weithorn,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Philip_Charles_MacKenzie,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Barry_Fanaro,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Alan_Ruck,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Linda_Day,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Zane_Buzby,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Patricia_Heaton,104
